market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SAM,2026-08-31T19:00:00+00:00,22.0,22.0,22.0,22.0,14.0,22.0,21.55,924.69
SAM,2026-08-31T20:00:00+00:00,22.0,22.0,22.0,22.0,14.0,22.0,8.62,933.31
SAM,2026-08-31T21:00:00+00:00,22.0,22.0,22.0,22.0,14.0,22.0,12.93,946.24
SAM,2026-08-31T22:00:00+00:00,17.0,22.0,22.0,16.0,13.0,22.0,90.2,1032.44
SAM,2026-08-31T23:00:00+00:00,,,,,15.0,20.0,0.0,1032.44
SAM,2026-09-01T00:00:00+00:00,13.0,5.0,13.0,5.0,5.0,7.0,2332.64,3336.33
SAM,2026-09-01T01:00:00+00:00,6.0,6.0,7.0,6.0,5.0,6.0,3028.41,6322.74
SAM,2026-09-01T02:00:00+00:00,6.0,6.0,6.0,6.0,5.0,6.0,193.16,6514.9
SAM,2026-09-01T03:00:00+00:00,6.0,6.0,6.0,6.0,5.0,6.0,78.18,6549.58
SAM,2026-09-01T04:00:00+00:00,6.0,6.0,6.0,6.0,5.0,6.0,168.74,6718.32
SIU,2026-08-18T16:00:00+00:00,,,,,5.0,95.0,0.0,0.0
SIU,2026-08-18T17:00:00+00:00,,,,,7.0,93.0,0.0,0.0
SIU,2026-08-18T22:00:00+00:00,,,,,7.0,90.0,0.0,0.0
SIU,2026-08-19T00:00:00+00:00,,,,,7.0,90.0,0.0,0.0
SIU,2026-08-19T02:00:00+00:00,,,,,7.0,90.0,0.0,0.0
SIU,2026-08-19T18:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-19T21:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-20T02:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-20T23:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-21T18:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-22T22:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-23T00:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-24T07:00:00+00:00,,,,,71.0,90.0,0.0,0.0
SIU,2026-08-24T08:00:00+00:00,,,,,72.0,90.0,0.0,0.0
SIU,2026-08-24T09:00:00+00:00,,,,,71.0,89.0,0.0,0.0
SIU,2026-08-24T10:00:00+00:00,,,,,70.0,89.0,0.0,0.0
SIU,2026-08-24T11:00:00+00:00,,,,,71.0,89.0,0.0,0.0
SIU,2026-08-24T12:00:00+00:00,,,,,72.0,89.0,0.0,0.0
SIU,2026-08-24T13:00:00+00:00,,,,,71.0,89.0,0.0,0.0
SIU,2026-08-24T14:00:00+00:00,,,,,72.0,89.0,0.0,0.0
SIU,2026-08-24T15:00:00+00:00,,,,,70.0,86.0,0.0,0.0
SIU,2026-08-24T16:00:00+00:00,,,,,71.0,87.0,0.0,0.0
SIU,2026-08-24T17:00:00+00:00,,,,,70.0,87.0,0.0,0.0
SIU,2026-08-24T18:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-24T19:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-24T20:00:00+00:00,,,,,70.0,90.0,0.0,0.0
SIU,2026-08-25T02:00:00+00:00,90.0,90.0,90.0,90.0,70.0,90.0,3.0,3.0
SIU,2026-08-25T03:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T04:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T05:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T07:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T08:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T09:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T10:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T11:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T13:00:00+00:00,,,,,70.0,90.0,0.0,3.0
SIU,2026-08-25T14:00:00+00:00,,,,,70.0,88.0,0.0,3.0
SIU,2026-08-25T15:00:00+00:00,,,,,70.0,89.0,0.0,3.0
SIU,2026-08-25T16:00:00+00:00,70.0,65.0,70.0,65.0,66.0,89.0,3.28,6.28
SIU,2026-08-25T17:00:00+00:00,,,,,66.0,89.0,0.0,6.28
SIU,2026-08-25T18:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-25T21:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-25T22:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-25T23:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T00:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T01:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T02:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T03:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T06:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T07:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T08:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T09:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T12:00:00+00:00,,,,,66.0,90.0,0.0,6.28
SIU,2026-08-26T17:00:00+00:00,,,,,66.0,90.0,0.0,6.28
